,Location,Time,ID,path
1196,"[33.0142, 73.6458]",2014-11-09 01:37:24.000000,43686801,
1197,"[33.01416, 73.64582]",2014-11-09 01:37:24.000000,43686801,
1198,"[33.0142, 73.6458]",2014-11-09 01:37:24.000000,43686801,
1199,"[33.0142, 73.6458]",2014-11-09 01:37:24.000000,43686801,
1200,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1201,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1202,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1203,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1204,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1205,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1206,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1207,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1208,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1209,"[33.01416, 73.64582]",2014-11-09 00:30:41.000000,43686801,
1210,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1211,"[33.0142, 73.6458]",2014-11-09 00:30:41.000000,43686801,
1212,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,"[{'y1': 73.6478441, 'x2': 32.9868639, 'x1': 33.013011, 'y2': 73.6753295}, {'y1': 73.6753295, 'x2': 32.9867779, 'x1': 32.9868639, 'y2': 73.6751851}, {'y1': 73.6751851, 'x2': 33.0272533, 'x1': 32.9867779, 'y2': 73.6026287}, {'y1': 73.6026287, 'x2': 33.0274885, 'x1': 33.0272533, 'y2': 73.60272309999999}, {'y1': 73.60272309999999, 'x2': 33.0263247, 'x1': 33.0274885, 'y2': 73.6066203}, {'y1': 73.6066203, 'x2': 33.0269349, 'x1': 33.0263247, 'y2': 73.6069249}, {'y1': 73.6069249, 'x2': 33.0271086, 'x1': 33.0269349, 'y2': 73.6065612}, {'y1': 73.6065612, 'x2': 33.0283035, 'x1': 33.0271086, 'y2': 73.60713249999999}, {'y1': 73.60713249999999, 'x2': 33.0285287, 'x1': 33.0283035, 'y2': 73.60651849999999}, {'y1': 73.60651849999999, 'x2': 33.0283299, 'x1': 33.0285287, 'y2': 73.6065331}]"
1213,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1214,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1215,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1216,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1217,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1218,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1219,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
